"ANIO","CodDane","TOTAL Terminales MinTIC","PC entregados MinTIC","Tabletas MinTIC Estudiantes","Tabletas MinTIC Docentes","PC MinTIC Docentes","Retoma de PC","Docentes Formados","Padres Capacitados","Tabletas aportadas por ET","PC aportados por ET","FECHA_CORTE","Inversión","Niños por terminal municipal","Niños por terminal departamental","DEPARTAMENTO","Meta Terminales entregadas Mintic","Meta Docentes Formados","Meta Padres Capacitados","Meta Retoma de PC","VIGENCIA","Demanufactura (toneladas)","meta Demanufactura","docentes acompañados","Meta docentes acompañados","Sedes beneficiadas"
"2022","41319",,"0","0","0","0","0","2",",00","0","0","2022-10-31",",00","3,00","3,00","HUILA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","2,00","4000,00",",00"
"2022","11001",,"0","0","0","0","2431","37",",00","0","0","2022-09-30",",00","10,00","10,00","BOGOTA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00","37,00","4000,00",",00"
"2022","25518",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","1,00","2,00","CUNDINAMARCA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","15442",,"0","0","0","0","0","3",",00","0","0","2022-09-30",",00","5,00","5,00","BOYACA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00","3,00","4000,00",",00"
"2022","05607",,"0","0","0","0","0","1",",00","0","0","2022-10-31",",00","7,00","4,49","ANTIOQUIA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","1,00","4000,00",",00"
"2022","73236",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","5,00","3,00","TOLIMA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","25295",,"0","0","0","0","0","0",",00","0","0","2022-10-31",",00","3,00","2,00","CUNDINAMARCA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00",",00","4000,00",",00"
"2022","27135",,"0","0","0","0","0","8",",00","0","0","2022-10-31",",00","4,00","6,00","CHOCO","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","8,00","4000,00",",00"
"2022","86219",,"0","0","0","0","0","0",",00","0","0","2022-10-31",",00","5,00","3,11","PUTUMAYO","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00",",00","4000,00",",00"
"2022","15816",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","3,00","5,00","BOYACA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","68368",,"0","0","0","0","0","0",",00","0","0","2022-10-31",",00","3,00","5,00","SANTANDER","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00",",00","4000,00",",00"
"2022","05842",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","3,00","4,49","ANTIOQUIA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","19473",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","6,00","4,01","CAUCA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","86569",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","2,00","3,11","PUTUMAYO","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","25394",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","1,00","2,00","CUNDINAMARCA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","52250",,"0","0","0","0","0","1",",00","0","0","2022-10-31",",00","8,00","4,00","NARI�O","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","1,00","4000,00",",00"
"2022","41548",,"0","0","0","0","4","0",",00","0","0","2022-09-30",",00","3,00","3,00","HUILA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","15632",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","3,00","5,00","BOYACA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","13760",,"0","0","0","0","0","1",",00","0","0","2022-10-31",",00","6,00","6,77","BOLIVAR","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","1,00","4000,00",",00"
"2022","13268",,"0","0","0","0","0","0",",00","0","0","2022-10-31",",00","2,00","6,77","BOLIVAR","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00",",00","4000,00",",00"
"2022","25779",,"0","0","0","0","0","1",",00","0","0","2022-09-30",",00","5,00","2,00","CUNDINAMARCA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00","1,00","4000,00",",00"
"2022","27745",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","3,00","6,00","CHOCO","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","05887",,"0","0","0","0","0","4",",00","0","0","2022-10-31",",00","5,00","4,49","ANTIOQUIA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","4,00","4000,00",",00"
"2022","47030",,"0","0","0","0","0","0",",00","0","0","2022-10-31",",00","8,00","6,00","MAGDALENA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00",",00","4000,00",",00"
"2022","52019",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","2,00","4,00","NARI�O","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","19318",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","2,00","4,01","CAUCA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","68468",,"0","0","0","0","0","0",",00","0","0","2022-10-31",",00","2,00","5,00","SANTANDER","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00",",00","4000,00",",00"
"2022","05042",,"0","0","0","0","103","2",",00","0","0","2022-10-31",",00","2,00","4,49","ANTIOQUIA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","2,00","4000,00",",00"
"2022","91798",,"0","0","0","0","0","0",",00","0","0","2022-10-31",",00","8,00","3,19","AMAZONAS","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00",",00","4000,00",",00"
"2022","85125",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","3,00","3,60","CASANARE","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","97001",,"0","0","0","0","0","1",",00","0","0","2022-10-31",",00","4,00","4,42","VAUPES","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","1,00","4000,00",",00"
"2022","66572",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","4,00","5,00","RISARALDA","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","52254",,"0","0","0","0","0","0",",00","0","0","2022-09-30",",00","3,00","4,00","NARI�O","66397,00","4000,00","4000,00","30000,00","2022-12-31","13,05","175,00",",00","4000,00",",00"
"2022","41660",,"0","0","0","0","0","2",",00","0","0","2022-10-31",",00","2,00","3,00","HUILA","66397,00","4000,00","4000,00","30000,00","2022-12-31","38,02","175,00","2,00","4000,00",",00"
